Family,Instance,Param,Algorithm,Time_Min,Time_Avg_Rand
Random4-n,Random4-n.10.0,10,dijkstra,0.000173,0.000171
Random4-n,Random4-n.10.0,10,dial,0.000158,0.0001086
Random4-n,Random4-n.10.0,10,radix,0.000213,0.0001992
Random4-n,Random4-n.11.0,11,dijkstra,0.000455,0.0003444
Random4-n,Random4-n.11.0,11,dial,0.000288,0.0002242
Random4-n,Random4-n.11.0,11,radix,0.000495,0.000393
Random4-n,Random4-n.12.0,12,dijkstra,0.000932,0.0009368
Random4-n,Random4-n.12.0,12,dial,0.000943,0.0004202
Random4-n,Random4-n.12.0,12,radix,0.001108,0.0008732
Random4-n,Random4-n.13.0,13,dijkstra,0.002445,0.0020754
Random4-n,Random4-n.13.0,13,dial,0.00246,0.0010128
Random4-n,Random4-n.13.0,13,radix,0.002641,0.0020652
Random4-n,Random4-n.14.0,14,dijkstra,0.006281,0.0056206
Random4-n,Random4-n.14.0,14,dial,0.006464,0.0046682
Random4-n,Random4-n.14.0,14,radix,0.006195,0.0057718000000000005
Random4-n,Random4-n.15.0,15,dijkstra,0.015921,0.0119768
Random4-n,Random4-n.15.0,15,dial,0.013793,0.0096098
Random4-n,Random4-n.15.0,15,radix,0.012114,0.0119528
Random4-n,Random4-n.16.0,16,dijkstra,0.030496,0.027042
Random4-n,Random4-n.16.0,16,dial,0.033776,0.023711799999999998
Random4-n,Random4-n.16.0,16,radix,0.029488,0.0254214
Random4-n,Random4-n.17.0,17,dijkstra,0.068399,0.065968
Random4-n,Random4-n.17.0,17,dial,0.076365,0.05764119999999999
Random4-n,Random4-n.17.0,17,radix,0.061371,0.0599318
Random4-n,Random4-n.18.0,18,dijkstra,0.159072,0.164561
Random4-n,Random4-n.18.0,18,dial,0.16767,0.1250762
Random4-n,Random4-n.18.0,18,radix,0.146623,0.1340554
Random4-n,Random4-n.19.0,19,dijkstra,0.405061,0.34568340000000003
Random4-n,Random4-n.19.0,19,dial,0.322173,0.28129499999999996
Random4-n,Random4-n.19.0,19,radix,0.328907,0.3285422
Random4-n,Random4-n.20.0,20,dijkstra,0.70803,0.736306
Random4-n,Random4-n.20.0,20,dial,0.716921,0.5816008
Random4-n,Random4-n.20.0,20,radix,0.74307,0.686974
Random4-n,Random4-n.21.0,21,dijkstra,1.786298,1.7816421999999998
Random4-n,Random4-n.21.0,21,dial,1.65121,1.3546118
Random4-n,Random4-n.21.0,21,radix,1.546596,1.5565232
Random4-C,Random4-C.0.0,0,dijkstra,0.772022,0.684833
Random4-C,Random4-C.0.0,0,dial,0.297068,0.3003908
Random4-C,Random4-C.0.0,0,radix,0.347376,0.322393
Random4-C,Random4-C.1.0,1,dijkstra,0.663522,0.6781948
Random4-C,Random4-C.1.0,1,dial,0.279743,0.2915756
Random4-C,Random4-C.1.0,1,radix,0.360631,0.330041
Random4-C,Random4-C.2.0,2,dijkstra,0.738167,0.7494886000000001
Random4-C,Random4-C.2.0,2,dial,0.277197,0.270719
Random4-C,Random4-C.2.0,2,radix,0.391439,0.354793
Random4-C,Random4-C.3.0,3,dijkstra,0.775118,0.7207542
Random4-C,Random4-C.3.0,3,dial,0.282816,0.2729334
Random4-C,Random4-C.3.0,3,radix,0.400594,0.3855744
Random4-C,Random4-C.4.0,4,dijkstra,0.741792,0.73045
Random4-C,Random4-C.4.0,4,dial,0.245483,0.2654524
Random4-C,Random4-C.4.0,4,radix,0.455535,0.4344056
Random4-C,Random4-C.5.0,5,dijkstra,0.743944,0.7272754
Random4-C,Random4-C.5.0,5,dial,0.276339,0.2775066
Random4-C,Random4-C.5.0,5,radix,0.452299,0.44357860000000005
Random4-C,Random4-C.6.0,6,dijkstra,0.755657,0.7168454
Random4-C,Random4-C.6.0,6,dial,0.305437,0.28378620000000004
Random4-C,Random4-C.6.0,6,radix,0.454194,0.48712140000000004
Random4-C,Random4-C.7.0,7,dijkstra,0.731271,0.6975246
Random4-C,Random4-C.7.0,7,dial,0.322884,0.30679880000000004
Random4-C,Random4-C.7.0,7,radix,0.567238,0.5102218
Random4-C,Random4-C.8.0,8,dijkstra,0.784446,0.8157114
Random4-C,Random4-C.8.0,8,dial,0.451129,0.3821668
Random4-C,Random4-C.8.0,8,radix,0.603739,0.503752
Random4-C,Random4-C.9.0,9,dijkstra,0.723062,0.7368738
Random4-C,Random4-C.9.0,9,dial,0.559363,0.4654852
Random4-C,Random4-C.9.0,9,radix,0.526029,0.5610792
Random4-C,Random4-C.10.0,10,dijkstra,0.723591,0.6924848
Random4-C,Random4-C.10.0,10,dial,0.687104,0.5579544000000001
Random4-C,Random4-C.10.0,10,radix,0.66627,0.6565886
Random4-C,Random4-C.11.0,11,dijkstra,0.721151,0.7057538
Random4-C,Random4-C.11.0,11,dial,0.931397,0.8436256
Random4-C,Random4-C.11.0,11,radix,0.761275,0.6903392
Random4-C,Random4-C.12.0,12,dijkstra,0.707832,0.6996488000000001
Random4-C,Random4-C.12.0,12,dial,1.538972,1.4870738
Random4-C,Random4-C.12.0,12,radix,0.761893,0.7026686
Random4-C,Random4-C.13.0,13,dijkstra,0.722333,0.6960922
Random4-C,Random4-C.13.0,13,dial,3.166156,3.1636708
Random4-C,Random4-C.13.0,13,radix,0.768751,0.7092114
Random4-C,Random4-C.14.0,14,dijkstra,0.710338,0.678599
Random4-C,Random4-C.14.0,14,dial,10.551482,10.501749
Random4-C,Random4-C.14.0,14,radix,0.887221,0.690878
